profile,tR_us,page_kb,planes_per_die,die_cap_gb,channels,dies_per_channel,n_planes,capacity_TB,lanes,freq_mhz,ecc,batch,dense_fp8,ch_bw_gbps,tok_s,tpot_ms,J_per_token,bottleneck_expert,bottleneck_dense,sensed_GB_per_token,total_lanes
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,4,True,3.2,20.935,191.1,5.03,compute,compute,39.5,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,8,False,3.2,16.39,488.1,4.87,compute,compute,38.2,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,8,True,3.2,17.502,457.1,4.04,compute,compute,31.4,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,16,False,3.2,12.313,1299.5,3.81,compute,compute,29.6,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,16,True,3.2,12.614,1268.5,3.39,compute,compute,26.2,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,32,False,3.2,8.46,3782.4,3.03,compute,compute,23.3,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,32,True,3.2,8.53,3751.4,2.82,compute,compute,21.6,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,64,False,3.2,5.954,10749.6,2.27,compute,compute,17.2,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,64,True,3.2,5.971,10718.6,2.17,compute,compute,16.4,32768
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,1,False,3.2,8.44,118.5,17.13,sense,sense,137.0,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,1,True,3.2,13.495,74.1,10.45,sense,sense,83.1,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,4,False,3.2,19.81,201.9,6.7,compute,sense,52.9,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,4,True,3.2,25.39,157.5,5.03,compute,sense,39.5,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,8,False,3.2,21.51,371.9,4.87,compute,channel,38.2,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,8,True,3.2,24.707,323.8,4.04,compute,channel,31.4,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,16,False,3.2,18.477,866.0,3.81,compute,channel,29.6,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,16,True,3.2,19.982,800.7,3.39,compute,channel,26.2,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,32,False,3.2,14.125,2265.5,3.03,compute,channel,23.3,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,32,True,3.2,14.773,2166.1,2.82,compute,channel,21.6,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,64,False,3.2,10.646,6011.4,2.27,compute,channel,17.2,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,64,True,3.2,10.952,5843.5,2.17,compute,channel,16.4,65536
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,1,False,3.2,6.636,150.7,17.13,compute,compute,137.0,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,1,True,3.2,8.355,119.7,10.45,compute,compute,83.1,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,4,False,3.2,5.215,767.0,6.7,compute,compute,52.9,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,4,True,3.2,5.435,736.0,5.03,compute,compute,39.5,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,8,False,3.2,3.387,2361.8,4.87,compute,compute,38.2,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,8,True,3.2,3.432,2330.8,4.04,compute,compute,31.4,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,16,False,3.2,2.035,7863.2,3.81,compute,compute,29.6,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,16,True,3.2,2.043,7832.2,3.39,compute,compute,26.2,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,32,False,3.2,1.23,26008.2,3.03,compute,compute,23.3,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,32,True,3.2,1.232,25977.2,2.82,compute,compute,21.6,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,64,False,3.2,0.809,79063.2,2.27,compute,compute,17.2,4096
slc-z,1,2,8,8,32,16,4096,4.1,1,400.0,0.0,64,True,3.2,0.81,79032.1,2.17,compute,compute,16.4,4096
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,1,False,3.2,9.434,106.0,17.13,compute,sense,137.0,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,1,True,3.2,14.282,70.0,10.45,compute,compute,83.1,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,4,False,3.2,13.337,299.9,6.7,compute,compute,52.9,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,4,True,3.2,14.875,268.9,5.03,compute,compute,39.5,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,8,False,3.2,10.585,755.8,4.87,compute,compute,38.2,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,8,True,3.2,11.038,724.8,4.04,compute,compute,31.4,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,16,False,3.2,7.152,2237.2,3.81,compute,compute,29.6,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,16,True,3.2,7.252,2206.1,3.39,compute,compute,26.2,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,32,False,3.2,4.599,6957.5,3.03,compute,compute,23.3,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,32,True,3.2,4.62,6926.5,2.82,compute,compute,21.6,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,64,False,3.2,3.121,20508.7,2.27,compute,compute,17.2,16384
slc-z,1,2,8,8,32,16,4096,4.1,4,400.0,0.0,64,True,3.2,3.125,20477.7,2.17,compute,compute,16.4,16384
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,1,False,3.2,9.791,102.1,17.13,compute,sense,137.0,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,1,True,3.2,15.519,64.4,10.45,compute,sense,83.1,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,4,False,3.2,18.012,222.1,6.7,compute,compute,52.9,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,4,True,3.2,20.935,191.1,5.03,compute,compute,39.5,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,8,False,3.2,16.39,488.1,4.87,compute,compute,38.2,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,8,True,3.2,17.502,457.1,4.04,compute,compute,31.4,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,16,False,3.2,12.313,1299.5,3.81,compute,compute,29.6,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,16,True,3.2,12.614,1268.5,3.39,compute,compute,26.2,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,32,False,3.2,8.46,3782.4,3.03,compute,compute,23.3,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,32,True,3.2,8.53,3751.4,2.82,compute,compute,21.6,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,64,False,3.2,5.954,10749.6,2.27,compute,compute,17.2,32768
slc-z,1,2,8,8,32,16,4096,4.1,8,400.0,0.0,64,True,3.2,5.971,10718.6,2.17,compute,compute,16.4,32768
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,1,False,3.2,9.855,101.5,17.13,sense,sense,137.0,65536
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,1,True,3.2,15.679,63.8,10.45,sense,sense,83.1,65536
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,4,False,3.2,21.263,188.1,6.7,compute,sense,52.9,65536
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,4,True,3.2,26.291,152.1,5.03,compute,compute,39.5,65536
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,8,False,3.2,22.033,363.1,4.87,compute,channel,38.2,65536
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,8,True,3.2,24.749,323.2,4.04,compute,compute,31.4,65536
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,16,False,3.2,18.861,848.3,3.81,compute,channel,29.6,65536
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,16,True,3.2,20.009,799.6,3.39,compute,compute,26.2,65536
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,32,False,3.2,14.349,2230.2,3.03,compute,channel,23.3,65536
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,32,True,3.2,14.789,2163.8,2.82,compute,compute,21.6,65536
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,64,False,3.2,10.773,5940.8,2.27,compute,channel,17.2,65536
