name,family,case,qualifying,evidence,mod_class,unverified,batch,dataflow,reducer,cr_read,slc_mode,channels,dies_per_channel,planes_per_die,n_planes,tR_us,eff_tR_us,agg_tok_s,per_user_tok_s,tpot_ms,usd_per_Mtok,J_per_token,capex_usd,wall_W,sensed_GB_per_token,senses_per_token_M,macs_per_sense,raw_cap_TB,usable_cap_TB,hits_500_agg,hits_25_user,hits_0p10_dollar
manySmall-8TB|shiftadd+cr+token|L8|B4|native,shiftadd+cr+token,central,True,L3,F2,cr-read-on-this-part,4,token,shiftadd,True,True,128,16,4,8192,6,2.75,103.2,25.8,38.8,0.614,2.27,2928,254,52.93,12.92,8063,8.19,4.1,False,True,False
manySmall-8TB|shiftadd+cr+expert_stationary|L8|B4|native,shiftadd+cr+expert_stationary,central,True,L3,F2,cr-read-on-this-part,4,expert_stationary,shiftadd,True,True,128,16,4,8192,6,2.75,103.2,25.8,38.8,0.614,2.27,2928,254,52.93,12.92,8063,8.19,4.1,False,True,False
manySmall-8TB|shiftadd+cr+token|L16|B4|native,shiftadd+cr+token,central,True,L3,F2,cr-read-on-this-part,4,token,shiftadd,True,True,128,16,4,8192,6,2.75,103.2,25.8,38.8,0.614,2.27,2928,254,52.93,12.92,8063,8.19,4.1,False,True,False
manySmall-8TB|shiftadd+cr+expert_stationary|L16|B4|native,shiftadd+cr+expert_stationary,central,True,L3,F2,cr-read-on-this-part,4,expert_stationary,shiftadd,True,True,128,16,4,8192,6,2.75,103.2,25.8,38.8,0.614,2.27,2928,254,52.93,12.92,8063,8.19,4.1,False,True,False
manySmall-8TB|shiftadd+cr+token|L32|B4|native,shiftadd+cr+token,central,True,L3,F2,cr-read-on-this-part,4,token,shiftadd,True,True,128,16,4,8192,6,2.75,103.2,25.8,38.8,0.614,2.27,2928,254,52.93,12.92,8063,8.19,4.1,False,True,False
manySmall-8TB|shiftadd+cr+expert_stationary|L32|B4|native,shiftadd+cr+expert_stationary,central,True,L3,F2,cr-read-on-this-part,4,expert_stationary,shiftadd,True,True,128,16,4,8192,6,2.75,103.2,25.8,38.8,0.614,2.27,2928,254,52.93,12.92,8063,8.19,4.1,False,True,False
